_section,total_files,total_rows_after_concat,date_parse_ok,date_parse_bad,rows_after_filter_keep_bad,rows_after_dedup,encoding,files,sep,source,ok_rows,total_rows,ok_rate,year,rows,col,files_missing
overview,1286.0,1286.0,945.0,341.0,1286.0,507.0,,,,,,,,,,,
encoding_dist,,,,,,,utf-8,1286.0,,,,,,,,,
sep_dist,,,,,,,,1286.0,auto,,,,,,,,
source_date_ok,,,,,,,,,,2015,42.0,82.0,0.5122,,,,
source_date_ok,,,,,,,,,,2016,16.0,57.0,0.2807,,,,
source_date_ok,,,,,,,,,,2017,22.0,64.0,0.3438,,,,
source_date_ok,,,,,,,,,,2018,24.0,45.0,0.5333,,,,
source_date_ok,,,,,,,,,,2019,41.0,42.0,0.9762,,,,
source_date_ok,,,,,,,,,,2020,33.0,39.0,0.8462,,,,
source_date_ok,,,,,,,,,,2021,21.0,39.0,0.5385,,,,
source_date_ok,,,,,,,,,,2022,24.0,43.0,0.5581,,,,
source_date_ok,,,,,,,,,,2023,27.0,36.0,0.75,,,,
source_date_ok,,,,,,,,,,2024,35.0,35.0,1.0,,,,
source_date_ok,,,,,,,,,,2025,25.0,25.0,1.0,,,,
year_dist,,,,,,,,,,,,,,2015.0,83.0,,
year_dist,,,,,,,,,,,,,,2016.0,54.0,,
year_dist,,,,,,,,,,,,,,2017.0,63.0,,
year_dist,,,,,,,,,,,,,,2018.0,42.0,,
year_dist,,,,,,,,,,,,,,2019.0,41.0,,
year_dist,,,,,,,,,,,,,,2020.0,46.0,,
year_dist,,,,,,,,,,,,,,2021.0,37.0,,
year_dist,,,,,,,,,,,,,,2022.0,44.0,,
year_dist,,,,,,,,,,,,,,2023.0,39.0,,
year_dist,,,,,,,,,,,,,,2024.0,32.0,,
year_dist,,,,,,,,,,,,,,2025.0,26.0,,
missing_required_cols,,,,,,,,,,,,,,,,author,1286.0
missing_required_cols,,,,,,,,,,,,,,,,title,0.0
missing_required_cols,,,,,,,,,,,,,,,,date,0.0
missing_required_cols,,,,,,,,,,,,,,,,content,0.0
missing_required_cols,,,,,,,,,,,,,,,,url,750.0
